id,latitude,longitude,datetime,date,time,day_of_week,hour,weather,road_type,severity,casualties,injuries,fatalities,vehicles_involved,description
1,32.5730725,74.1005044,2021-04-01T09:01:00,4/1/2021,9:01:00,Thursday,9,Heavy Rain,Residential,Severe,"{'injured': 6, 'dead': 0, 'total': 6}",6,0,4,Severe accident on residential with heavy rain conditions
2,32.5730725,74.1005044,2020-05-10T11:01:00,5/10/2020,11:01:00,Sunday,11,Clear,Arterial,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,4,Moderate collision on arterial in clear weather
3,32.5730725,74.1005044,2022-06-21T05:28:00,6/21/2022,5:28:00,Tuesday,5,Rain,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor residential accident during rain conditions
4,32.5730725,74.1005044,2023-10-25T21:17:00,10/25/2023,21:17:00,Wednesday,21,Clear,Residential,Fatal,"{'injured': 2, 'dead': 3, 'total': 5}",2,3,3,Fatal accident on residential during clear weather
5,32.5730725,74.1005044,2020-06-26T17:46:00,6/26/2020,17:46:00,Friday,17,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor arterial accident during clear conditions
6,32.5640348,74.0575465,2024-01-21T09:36:00,1/21/2024,9:36:00,Sunday,9,Clear,Highway,Fatal,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,2,Fatal accident on highway during clear weather
7,32.6377717,74.1958929,2021-02-17T03:24:00,2/17/2021,3:24:00,Wednesday,3,Rain,Rural,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor rural accident during rain conditions
8,32.5730725,74.1005044,2020-10-19T12:38:00,10/19/2020,12:38:00,Monday,12,Cloudy,Arterial,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,2,Moderate collision on arterial in cloudy weather
9,32.5730725,74.1005044,2023-08-21T00:53:00,8/21/2023,0:53:00,Monday,0,Cloudy,Arterial,Moderate,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,1,Moderate collision on arterial in cloudy weather
10,32.5730725,74.1005044,2022-05-14T00:58:00,5/14/2022,0:58:00,Saturday,0,Clear,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor residential accident during clear conditions
11,32.5730725,74.1005044,2024-06-08T17:56:00,6/8/2024,17:56:00,Saturday,17,Cloudy,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor arterial accident during cloudy conditions
12,32.5679042,74.1517651,2024-10-20T07:57:00,10/20/2024,7:57:00,Sunday,7,Fog,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor highway accident during fog conditions
13,32.6377717,74.1958929,2020-07-11T16:55:00,7/11/2020,16:55:00,Saturday,16,Clear,Arterial,Severe,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,4,Severe accident on arterial with clear conditions
14,32.5730725,74.1005044,2025-04-01T09:33:00,4/1/2025,9:33:00,Tuesday,9,Cloudy,Arterial,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,3,Moderate collision on arterial in cloudy weather
15,32.5842125,74.1548242,2021-04-01T16:18:00,4/1/2021,16:18:00,Thursday,16,Rain,Intersection,Fatal,"{'injured': 5, 'dead': 3, 'total': 8}",5,3,2,Fatal accident on intersection during rain weather
16,32.5842125,74.1548242,2025-09-10T18:58:00,9/10/2025,18:58:00,Wednesday,18,Rain,Rural,Moderate,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,2,Moderate collision on rural in rain weather
17,32.5640348,74.0575465,2025-12-12T17:58:00,12/12/2025,17:58:00,Friday,17,Clear,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor highway accident during clear conditions
18,32.6377717,74.1958929,2022-09-07T00:03:00,9/7/2022,0:03:00,Wednesday,0,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor arterial accident during clear conditions
19,32.5615005,74.0806009,2021-06-09T00:42:00,6/9/2021,0:42:00,Wednesday,0,Clear,Intersection,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,2,Moderate collision on intersection in clear weather
20,32.5615005,74.0806009,2022-04-03T17:45:00,4/3/2022,17:45:00,Sunday,17,Cloudy,Intersection,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,4,Moderate collision on intersection in cloudy weather
21,32.5730725,74.1005044,2021-05-10T20:15:00,5/10/2021,20:15:00,Monday,20,Clear,Arterial,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor arterial accident during clear conditions
