id,date,condition,temperature,humidity,visibility,wind_speed
1,2020-02-03,Snow,40.6,78.0,7.8,36.1
2,2023-06-26,Rain,17.9,32.4,7.0,24.6
3,2024-11-06,Snow,39.8,36.0,5.5,34.9
4,2022-09-30,Fog,10.8,53.3,1.0,37.3
5,2022-02-26,Heavy Rain,8.3,66.0,9.2,42.9
6,2023-01-03,Fog,15.8,34.9,6.7,20.6
7,2021-11-10,Heavy Rain,43.2,37.0,1.9,13.2
8,2021-05-04,Heavy Rain,39.5,33.3,4.8,2.5
9,2023-07-15,Fog,43.6,83.1,3.4,22.6
10,2021-06-23,Snow,22.9,44.7,1.6,42.0
11,2020-10-04,Rain,16.8,90.3,1.2,9.2
12,2022-01-23,Rain,6.2,90.6,7.8,33.7
13,2020-05-18,Heavy Rain,28.5,36.3,7.6,48.7
14,2023-07-26,Fog,25.8,45.0,7.8,12.6
15,2024-05-11,Rain,9.0,69.2,1.1,8.3
16,2023-10-30,Cloudy,5.1,68.6,5.4,47.3
17,2023-08-13,Cloudy,33.4,74.3,2.9,31.6
18,2023-01-27,Cloudy,30.1,37.1,8.0,40.7
19,2021-11-23,Fog,30.9,21.8,9.8,8.6
20,2020-10-08,Clear,30.3,85.8,8.8,38.5
21,2023-02-18,Heavy Rain,34.8,63.9,1.5,23.9
22,2024-11-17,Clear,37.2,56.7,7.3,24.1
23,2023-07-20,Clear,33.5,94.2,5.4,9.2
24,2020-04-30,Clear,-4.6,22.8,6.1,42.1
25,2020-08-12,Clear,23.0,23.8,9.5,40.9
26,2024-12-19,Rain,0.6,91.9,0.5,42.6
27,2023-01-18,Heavy Rain,19.1,27.9,1.6,14.5
28,2022-08-11,Heavy Rain,24.0,32.0,4.0,48.8
29,2024-06-23,Clear,38.6,87.9,2.2,14.1
30,2020-10-12,Heavy Rain,12.8,70.7,4.0,45.8
31,2022-11-10,Cloudy,-2.5,55.9,6.0,15.9
32,2021-09-11,Rain,43.6,33.1,7.2,43.0
33,2022-01-06,Heavy Rain,28.1,90.9,7.2,11.3
34,2020-05-08,Snow,13.7,59.8,5.1,15.6
35,2024-06-06,Heavy Rain,15.3,33.6,8.5,49.9
36,2022-03-13,Cloudy,-2.1,56.4,6.2,25.5
37,2020-11-10,Rain,39.8,82.8,0.7,5.3
38,2021-08-20,Rain,34.1,27.3,0.9,3.4
39,2023-08-05,Clear,25.2,74.6,7.5,23.0
40,2020-04-02,Fog,31.0,20.8,3.1,47.4
41,2023-06-15,Rain,41.3,22.3,7.2,0.7
42,2021-06-30,Rain,5.2,78.1,5.2,3.7
43,2020-09-04,Heavy Rain,32.9,93.1,1.7,11.7
44,2024-08-07,Fog,42.7,71.4,6.6,5.6
45,2020-06-20,Snow,9.0,75.0,2.8,36.8
46,2023-03-24,Clear,11.3,54.8,9.1,35.8
47,2023-03-31,Heavy Rain,0.3,45.9,9.0,41.2
48,2020-11-02,Heavy Rain,30.8,49.0,3.4,41.8
49,2022-12-04,Clear,16.2,74.3,2.3,5.8
50,2023-12-13,Rain,37.8,30.7,2.7,14.6
51,2020-08-30,Heavy Rain,-0.8,95.0,6.9,10.0
52,2024-04-15,Heavy Rain,11.0,37.2,6.1,43.9
53,2021-06-29,Snow,41.2,22.1,7.4,13.4
54,2023-07-18,Cloudy,6.8,30.5,5.8,22.2
55,2020-01-21,Cloudy,33.8,93.2,7.6,45.6
56,2022-05-29,Heavy Rain,36.9,27.1,0.9,46.4
57,2024-05-07,Fog,9.9,55.4,9.7,32.0
58,2022-10-06,Heavy Rain,20.4,63.8,5.5,19.3
59,2024-11-05,Rain,21.0,57.4,3.3,11.6
60,2024-08-21,Snow,25.9,90.3,7.6,45.0
61,2022-12-02,Fog,36.0,78.0,3.5,39.8
62,2022-11-14,Clear,10.3,69.2,7.1,17.8
63,2021-12-27,Snow,11.1,61.8,8.8,35.2
64,2024-05-25,Fog,6.0,76.0,8.1,3.2
65,2024-01-31,Rain,-1.3,46.7,1.7,15.1
66,2022-11-02,Fog,28.1,93.3,1.2,13.4
67,2024-04-25,Clear,25.3,33.9,9.3,20.5
68,2020-06-09,Heavy Rain,42.1,78.0,9.0,5.2
69,2022-01-14,Cloudy,4.0,68.8,3.4,16.2
70,2022-11-19,Snow,16.2,49.5,8.3,28.5
71,2024-02-04,Fog,43.6,87.3,1.5,21.2
72,2023-01-07,Clear,35.8,56.3,6.8,45.3
73,2021-12-27,Fog,27.0,60.9,9.3,5.9
74,2024-10-04,Snow,42.5,91.9,0.9,26.5
75,2021-10-30,Clear,-0.4,84.6,7.6,26.9
76,2020-02-06,Rain,-4.3,71.5,3.8,23.9
77,2020-05-04,Fog,18.1,54.9,9.8,12.4
78,2022-08-03,Clear,5.3,28.3,9.1,29.3
79,2023-08-02,Rain,40.4,90.8,4.8,2.2
80,2021-02-09,Cloudy,35.9,93.5,9.2,0.5
81,2021-03-05,Rain,22.8,76.1,6.4,27.9
82,2024-04-07,Fog,24.2,73.4,6.9,21.4
83,2024-02-23,Clear,14.7,67.6,3.7,16.2
84,2024-01-09,Heavy Rain,23.4,28.1,2.2,44.2
85,2021-01-04,Cloudy,29.6,69.9,6.3,5.1
86,2024-07-05,Snow,0.2,34.8,6.4,44.2
87,2022-03-12,Fog,8.9,36.6,1.1,8.2
88,2020-01-31,Clear,36.9,20.5,3.4,17.5
89,2023-08-22,Rain,38.3,23.2,7.7,10.1
90,2020-01-07,Heavy Rain,13.9,60.1,7.6,34.3
91,2023-01-27,Snow,34.3,37.3,1.3,29.6
92,2021-02-09,Snow,20.4,57.2,5.6,45.6
93,2021-06-27,Fog,-1.7,78.2,1.9,43.6
94,2024-06-10,Clear,19.1,23.8,1.9,7.2
95,2020-08-15,Cloudy,22.1,63.8,1.7,38.3
96,2024-02-11,Clear,4.8,21.1,7.7,44.6
97,2023-09-18,Heavy Rain,-3.9,66.8,1.6,15.5
98,2021-12-21,Heavy Rain,10.6,31.4,2.9,29.3
99,2023-02-16,Clear,0.5,28.6,3.7,24.6
100,2020-01-28,Clear,4.3,39.6,3.2,7.6
101,2024-12-29,Rain,14.8,72.4,3.5,24.5
102,2021-01-02,Snow,3.4,29.2,1.5,12.5
103,2021-01-17,Clear,39.0,64.9,7.3,16.2
104,2021-11-07,Fog,-4.9,34.6,2.7,18.8
105,2022-11-11,Snow,33.8,94.4,5.9,14.0
106,2020-04-23,Rain,-3.6,79.6,4.0,40.2
107,2023-11-08,Heavy Rain,5.0,74.6,7.4,30.4
108,2021-05-22,Heavy Rain,28.7,44.0,3.6,40.3
109,2022-07-09,Cloudy,39.3,37.6,2.2,6.5
110,2021-01-30,Fog,37.3,40.3,8.3,34.7
111,2022-08-30,Clear,10.4,56.4,7.4,0.6
112,2020-06-14,Snow,36.0,65.3,3.9,39.8
113,2021-08-18,Heavy Rain,38.6,76.8,10.0,32.2
114,2020-07-01,Clear,2.5,39.2,3.5,42.2
115,2022-04-22,Snow,-0.5,64.8,8.3,44.6
116,2024-04-18,Rain,26.8,75.8,4.5,18.4
117,2024-09-14,Rain,18.4,30.7,4.3,33.4
118,2020-01-09,Fog,13.1,65.0,8.8,14.1
119,2022-11-25,Rain,0.4,36.2,3.0,20.5
120,2021-06-30,Rain,-2.1,53.8,9.4,47.0
121,2022-10-25,Snow,29.4,23.5,8.6,23.7
122,2023-08-15,Cloudy,20.1,94.5,5.0,25.1
123,2023-12-26,Heavy Rain,36.8,20.0,7.6,32.1
124,2020-10-27,Cloudy,39.1,62.4,1.3,43.9
125,2020-04-14,Cloudy,3.5,76.8,3.4,1.3
126,2020-12-21,Clear,36.0,22.8,7.5,44.1
127,2024-12-26,Clear,34.6,62.0,3.9,10.4
128,2023-09-22,Fog,20.3,68.8,7.9,38.6
129,2020-05-31,Rain,44.6,80.0,8.3,15.4
130,2023-02-27,Fog,19.8,73.7,8.7,38.4
131,2020-09-02,Fog,3.8,39.7,7.1,36.9
132,2021-01-06,Cloudy,-0.0,78.6,5.8,14.7
133,2022-07-27,Cloudy,24.2,32.7,4.5,17.8
134,2023-02-24,Snow,38.4,77.1,9.4,48.9
135,2022-09-12,Snow,2.8,55.2,4.6,29.7
136,2023-07-28,Snow,42.1,72.1,4.0,2.8
137,2021-04-07,Clear,8.1,79.7,7.8,4.3
138,2024-12-25,Heavy Rain,18.4,83.4,4.2,47.0
139,2024-06-15,Snow,37.2,47.0,9.8,24.0
140,2020-01-04,Clear,26.2,89.9,1.1,44.0
141,2021-05-05,Heavy Rain,42.4,36.3,10.0,38.9
142,2024-05-15,Heavy Rain,-4.6,83.2,2.4,10.5
143,2020-07-02,Heavy Rain,15.9,58.5,2.8,29.1
144,2023-11-04,Fog,23.8,85.0,7.1,30.9
145,2024-11-06,Cloudy,13.8,74.0,4.2,29.2
146,2023-10-19,Heavy Rain,23.7,23.2,1.6,35.0
147,2024-12-24,Cloudy,6.7,32.0,1.4,29.6
148,2024-05-01,Snow,12.8,40.4,9.2,30.7
149,2023-11-17,Rain,8.9,83.1,4.2,22.6
150,2024-12-10,Clear,17.7,75.1,3.5,18.3
151,2024-05-25,Clear,19.2,74.7,4.0,35.5
152,2022-10-27,Snow,16.4,22.0,7.9,24.8
153,2023-11-29,Heavy Rain,-2.3,73.6,1.3,48.3
154,2021-01-24,Heavy Rain,34.5,60.0,6.0,33.6
155,2022-08-01,Clear,23.9,84.2,1.4,31.1
156,2020-05-11,Clear,43.6,24.1,3.6,42.2
157,2022-03-08,Cloudy,24.5,28.0,8.2,47.5
158,2022-08-29,Heavy Rain,36.1,70.2,2.4,25.5
159,2020-10-10,Cloudy,24.8,59.4,2.6,12.4
160,2022-02-04,Rain,24.5,46.6,8.7,13.9
161,2020-04-28,Snow,28.1,46.2,3.3,11.6
162,2021-09-25,Rain,39.1,41.4,9.2,12.0
163,2020-06-23,Snow,41.0,76.1,3.8,27.9
164,2023-04-30,Heavy Rain,33.7,89.2,2.9,9.9
165,2023-09-17,Snow,8.1,30.5,5.6,4.5
166,2022-11-02,Cloudy,40.5,82.0,6.6,10.6
167,2022-02-16,Rain,1.1,21.7,6.9,27.0
168,2022-11-06,Heavy Rain,8.3,29.7,1.6,16.6
169,2020-07-24,Fog,28.2,27.9,5.5,9.8
170,2023-12-01,Rain,5.7,72.7,5.6,38.3
171,2022-08-04,Rain,30.5,21.3,9.4,21.5
172,2020-09-13,Fog,1.4,23.8,3.0,16.6
173,2023-01-15,Snow,1.8,74.6,8.3,39.9
174,2020-11-12,Cloudy,29.0,64.6,6.4,28.4
175,2023-03-16,Snow,25.7,84.4,6.5,39.8
176,2024-03-24,Clear,30.7,66.4,5.5,42.6
177,2022-02-27,Cloudy,4.1,88.6,10.0,39.8
178,2023-03-25,Rain,32.8,72.9,6.6,22.5
179,2020-04-25,Heavy Rain,27.7,47.6,9.9,1.9
180,2024-06-14,Rain,38.4,33.4,3.7,35.2
181,2022-10-02,Clear,6.2,64.3,9.6,17.3
182,2022-02-06,Rain,8.5,55.6,1.1,30.0
183,2023-11-12,Heavy Rain,19.6,55.7,6.3,44.4
184,2024-01-28,Heavy Rain,33.3,29.3,6.2,9.4
185,2023-04-15,Heavy Rain,10.4,72.4,2.8,14.2
186,2022-06-30,Cloudy,7.9,46.0,3.3,39.8
187,2024-11-26,Rain,26.3,36.3,7.0,46.7
188,2020-09-08,Heavy Rain,-3.2,33.3,0.8,8.9
189,2020-05-15,Fog,5.0,63.1,9.6,7.3
190,2020-04-20,Cloudy,7.9,24.3,3.7,30.1
191,2020-12-05,Clear,12.4,43.6,2.1,44.1
192,2023-05-23,Rain,32.4,67.2,0.7,18.6
193,2020-03-13,Snow,-2.3,94.3,4.8,25.6
194,2021-02-26,Heavy Rain,21.4,73.2,5.5,21.4
195,2024-06-23,Cloudy,41.4,78.1,2.4,6.4
196,2022-11-04,Cloudy,20.4,66.2,7.4,33.8
197,2023-11-04,Cloudy,2.5,90.6,9.7,48.5
198,2023-02-17,Snow,21.9,46.7,8.6,9.5
199,2023-05-05,Heavy Rain,3.5,57.4,9.8,1.2
200,2021-01-02,Rain,37.2,63.4,5.0,22.6
201,2020-02-02,Fog,6.1,35.6,3.9,38.7
202,2022-01-29,Clear,15.4,59.7,9.6,25.2
203,2021-05-11,Rain,20.2,93.2,4.7,39.3
204,2020-08-23,Clear,13.5,44.1,7.1,27.3
205,2020-06-08,Clear,-1.2,60.1,6.3,4.5
206,2022-06-12,Snow,38.8,74.3,5.7,27.5
207,2024-11-28,Snow,43.2,65.2,1.5,5.9
208,2022-11-07,Clear,10.0,56.3,3.0,27.6
209,2021-08-29,Clear,0.4,93.6,3.7,31.6
210,2020-02-29,Snow,40.8,77.6,2.4,46.7
211,2023-06-08,Cloudy,37.0,24.1,8.9,23.0
212,2021-11-03,Fog,5.2,66.5,8.8,36.5
213,2022-07-04,Clear,22.6,63.9,4.4,43.9
214,2020-05-01,Clear,17.2,51.7,4.4,30.6
215,2021-06-03,Snow,26.1,86.8,9.2,33.9
216,2022-01-29,Rain,18.5,47.9,6.6,30.9
217,2022-05-03,Heavy Rain,3.3,80.6,7.0,35.4
218,2023-05-21,Rain,23.0,77.9,3.4,22.5
219,2023-07-12,Fog,22.8,70.5,9.2,2.1
220,2021-04-04,Fog,-2.4,91.7,4.7,19.7
221,2020-03-10,Rain,36.3,85.1,3.6,10.4
222,2024-11-21,Fog,28.9,78.3,1.3,48.8
223,2022-11-23,Snow,36.4,66.6,5.2,38.9
224,2022-08-16,Rain,16.6,82.5,8.6,7.5
225,2023-11-25,Clear,-2.1,70.5,7.3,31.2
