id,latitude,longitude,datetime,date,time,day_of_week,hour,weather,road_type,severity,casualties,injuries,fatalities,vehicles_involved,description
1,32.609729,74.123534,2021-04-01T09:01:00,2021-04-01,09:01:00,Thursday,9,Heavy Rain,Residential,Severe,"{'injured': 6, 'dead': 0, 'total': 6}",6,0,4,Severe accident on residential with heavy rain conditions
2,32.605107,74.110531,2020-05-10T11:01:00,2020-05-10,11:01:00,Sunday,11,Clear,Arterial,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,4,Moderate collision on arterial in clear weather
3,32.661886,74.0013,2022-06-21T05:28:00,2022-06-21,05:28:00,Tuesday,5,Rain,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor residential accident during rain conditions
4,32.542044,74.147599,2023-10-25T21:17:00,2023-10-25,21:17:00,Wednesday,21,Clear,Residential,Fatal,"{'injured': 2, 'dead': 3, 'total': 5}",2,3,3,Fatal accident on residential during clear weather
5,32.524965,74.184459,2020-06-26T17:46:00,2020-06-26,17:46:00,Friday,17,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor arterial accident during clear conditions
6,32.564916,74.069558,2024-01-21T09:36:00,2024-01-21,09:36:00,Sunday,9,Clear,Highway,Fatal,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,2,Fatal accident on highway during clear weather
7,32.543253,74.147105,2021-02-17T03:24:00,2021-02-17,03:24:00,Wednesday,3,Rain,Rural,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor rural accident during rain conditions
8,32.606828,74.048962,2020-10-19T12:38:00,2020-10-19,12:38:00,Monday,12,Cloudy,Arterial,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,2,Moderate collision on arterial in cloudy weather
9,32.511188,74.164361,2023-08-21T00:53:00,2023-08-21,00:53:00,Monday,0,Cloudy,Arterial,Moderate,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,1,Moderate collision on arterial in cloudy weather
10,32.675274,74.062936,2022-05-14T00:58:00,2022-05-14,00:58:00,Saturday,0,Clear,Residential,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor residential accident during clear conditions
11,32.59177,74.052976,2024-06-08T17:56:00,2024-06-08,17:56:00,Saturday,17,Cloudy,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor arterial accident during cloudy conditions
12,32.699465,74.027666,2024-10-20T07:57:00,2024-10-20,07:57:00,Sunday,7,Fog,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor highway accident during fog conditions
13,32.610842,74.118443,2020-07-11T16:55:00,2020-07-11,16:55:00,Saturday,16,Clear,Arterial,Severe,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,4,Severe accident on arterial with clear conditions
14,32.577606,74.067291,2025-04-01T09:33:00,2025-04-01,09:33:00,Tuesday,9,Cloudy,Arterial,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,3,Moderate collision on arterial in cloudy weather
15,32.590745,74.190763,2021-04-01T16:18:00,2021-04-01,16:18:00,Thursday,16,Rain,Intersection,Fatal,"{'injured': 5, 'dead': 3, 'total': 8}",5,3,2,Fatal accident on intersection during rain weather
16,32.556833,74.150153,2025-09-10T18:58:00,2025-09-10,18:58:00,Wednesday,18,Rain,Rural,Moderate,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,2,Moderate collision on rural in rain weather
17,32.549772,74.142237,2025-12-12T17:58:00,2025-12-12,17:58:00,Friday,17,Clear,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor highway accident during clear conditions
18,32.565713,74.07472,2022-09-07T00:03:00,2022-09-07,00:03:00,Wednesday,0,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor arterial accident during clear conditions
19,32.609961,74.053011,2021-06-09T00:42:00,2021-06-09,00:42:00,Wednesday,0,Clear,Intersection,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,2,Moderate collision on intersection in clear weather
20,32.69903,74.129976,2022-04-03T17:45:00,2022-04-03,17:45:00,Sunday,17,Cloudy,Intersection,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,4,Moderate collision on intersection in cloudy weather
21,32.540421,74.151078,2021-05-10T20:15:00,2021-05-10,20:15:00,Monday,20,Clear,Arterial,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor arterial accident during clear conditions
22,32.511775,74.01348,2020-01-30T18:04:00,2020-01-30,18:04:00,Thursday,18,Rain,Arterial,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Moderate collision on arterial in rain weather
23,32.674285,74.092646,2025-10-06T16:15:00,2025-10-06,16:15:00,Monday,16,Clear,Intersection,Fatal,"{'injured': 4, 'dead': 4, 'total': 8}",4,4,2,Fatal accident on intersection during clear weather
24,32.518865,74.131797,2025-04-21T18:51:00,2025-04-21,18:51:00,Monday,18,Clear,Highway,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Minor highway accident during clear conditions
25,32.510834,74.130691,2024-08-10T18:29:00,2024-08-10,18:29:00,Saturday,18,Clear,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,1,Minor highway accident during clear conditions
26,32.660119,74.021854,2020-09-05T20:25:00,2020-09-05,20:25:00,Saturday,20,Clear,Residential,Moderate,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,4,Moderate collision on residential in clear weather
27,32.674996,74.108465,2021-07-28T05:27:00,2021-07-28,05:27:00,Wednesday,5,Rain,Highway,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,1,Moderate collision on highway in rain weather
28,32.667206,74.193799,2020-07-26T21:41:00,2020-07-26,21:41:00,Sunday,21,Rain,Intersection,Moderate,"{'injured': 2, 'dead': 1, 'total': 3}",2,1,4,Moderate collision on intersection in rain weather
29,32.680489,74.032927,2025-05-25T17:13:00,2025-05-25,17:13:00,Sunday,17,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor arterial accident during clear conditions
30,32.591002,74.084601,2022-12-22T07:59:00,2022-12-22,07:59:00,Thursday,7,Clear,Arterial,Severe,"{'injured': 7, 'dead': 2, 'total': 9}",7,2,4,Severe accident on arterial with clear conditions
31,32.575584,74.075844,2021-09-26T04:12:00,2021-09-26,04:12:00,Sunday,4,Clear,Arterial,Severe,"{'injured': 7, 'dead': 1, 'total': 8}",7,1,1,Severe accident on arterial with clear conditions
32,32.683877,74.106225,2020-07-24T17:37:00,2020-07-24,17:37:00,Friday,17,Clear,Arterial,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor arterial accident during clear conditions
33,32.635043,74.047041,2022-01-31T06:04:00,2022-01-31,06:04:00,Monday,6,Rain,Residential,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,2,Moderate collision on residential in rain weather
34,32.558694,74.144085,2020-06-11T08:39:00,2020-06-11,08:39:00,Thursday,8,Clear,Highway,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor highway accident during clear conditions
35,32.634338,74.059999,2022-09-04T16:16:00,2022-09-04,16:16:00,Sunday,16,Clear,Arterial,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor arterial accident during clear conditions
36,32.612599,74.019996,2020-02-08T07:29:00,2020-02-08,07:29:00,Saturday,7,Rain,Highway,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,3,Moderate collision on highway in rain weather
37,32.513758,74.048857,2021-06-26T23:59:00,2021-06-26,23:59:00,Saturday,23,Clear,Arterial,Fatal,"{'injured': 2, 'dead': 2, 'total': 4}",2,2,4,Fatal accident on arterial during clear weather
38,32.66142,74.105788,2023-05-24T01:39:00,2023-05-24,01:39:00,Wednesday,1,Clear,Residential,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,1,Moderate collision on residential in clear weather
39,32.578848,74.068109,2021-07-04T15:16:00,2021-07-04,15:16:00,Sunday,15,Clear,Residential,Moderate,"{'injured': 3, 'dead': 0, 'total': 3}",3,0,3,Moderate collision on residential in clear weather
40,32.552797,74.097706,2022-04-13T03:43:00,2022-04-13,03:43:00,Wednesday,3,Clear,Intersection,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,1,Minor intersection accident during clear conditions
41,32.607742,74.115239,2024-09-30T12:53:00,2024-09-30,12:53:00,Monday,12,Heavy Rain,Intersection,Minor,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Minor intersection accident during heavy rain conditions
42,32.582901,74.07882,2024-10-17T19:35:00,2024-10-17,19:35:00,Thursday,19,Clear,Residential,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,3,Moderate collision on residential in clear weather
43,32.547293,74.158662,2021-08-29T20:27:00,2021-08-29,20:27:00,Sunday,20,Clear,Residential,Minor,"{'injured': 0, 'dead': 0, 'total': 0}",0,0,2,Minor residential accident during clear conditions
44,32.571074,74.076198,2022-05-10T19:43:00,2022-05-10,19:43:00,Tuesday,19,Clear,Intersection,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor intersection accident during clear conditions
45,32.612628,74.110496,2022-08-27T09:55:00,2022-08-27,09:55:00,Saturday,9,Rain,Residential,Severe,"{'injured': 7, 'dead': 1, 'total': 8}",7,1,4,Severe accident on residential with rain conditions
46,32.571651,74.065774,2022-10-13T18:17:00,2022-10-13,18:17:00,Thursday,18,Clear,Residential,Moderate,"{'injured': 4, 'dead': 0, 'total': 4}",4,0,4,Moderate collision on residential in clear weather
47,32.674265,74.044585,2023-12-03T07:19:00,2023-12-03,07:19:00,Sunday,7,Clear,Arterial,Fatal,"{'injured': 5, 'dead': 2, 'total': 7}",5,2,4,Fatal accident on arterial during clear weather
48,32.555825,74.128296,2023-09-06T08:17:00,2023-09-06,08:17:00,Wednesday,8,Snow,Intersection,Severe,"{'injured': 5, 'dead': 2, 'total': 7}",5,2,3,Severe accident on intersection with snow conditions
49,32.552243,74.116118,2020-04-23T17:07:00,2020-04-23,17:07:00,Thursday,17,Clear,Residential,Minor,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,1,Minor residential accident during clear conditions
50,32.645709,74.062735,2021-03-20T20:38:00,2021-03-20,20:38:00,Saturday,20,Cloudy,Residential,Moderate,"{'injured': 5, 'dead': 0, 'total': 5}",5,0,1,Moderate collision on residential in cloudy weather
51,32.550945,74.141757,2024-04-26T03:57:00,2024-04-26,03:57:00,Friday,3,Clear,Residential,Severe,"{'injured': 2, 'dead': 2, 'total': 4}",2,2,2,Severe accident on residential with clear conditions
52,32.552463,74.153268,2024-01-31T00:27:00,2024-01-31,00:27:00,Wednesday,0,Clear,Highway,Moderate,"{'injured': 1, 'dead': 0, 'total': 1}",1,0,3,Moderate collision on highway in clear weather
53,32.565237,74.139442,2025-09-08T06:19:00,2025-09-08,06:19:00,Monday,6,Rain,Residential,Moderate,"{'injured': 5, 'dead': 1, 'total': 6}",5,1,4,Moderate collision on residential in rain weather
54,32.548122,74.156675,2024-04-01T07:43:00,2024-04-01,07:43:00,Monday,7,Fog,Highway,Severe,"{'injured': 4, 'dead': 1, 'total': 5}",4,1,2,Severe accident on highway with fog conditions
55,32.592998,74.088432,2024-10-26T09:50:00,2024-10-26,09:50:00,Saturday,9,Fog,Arterial,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Moderate collision on arterial in fog weather
56,32.626588,74.067038,2020-12-13T15:18:00,2020-12-13,15:18:00,Sunday,15,Rain,Arterial,Moderate,"{'injured': 2, 'dead': 0, 'total': 2}",2,0,2,Moderate collision on arterial in rain weather
