id,name,type,traffic_volume,speed_limit,lanes,latitude,longitude
1,ISLAMIA SCHOOL MACHLI CHOWK GUJRAT Pakistan,Residential,1224,120,4,32.5474,74.002746
2,VILLAGE GILLANWALA GUJRAT Pakistan,Residential,1372,30,5,32.5715,74.165704
3,NEAR ZAIQA BARKERS GUJRAT Pakistan,Residential,2396,50,2,32.609847,74.002405
4,NEAR STAFF GALA GUJRAT Pakistan,Residential,4685,80,3,32.630915,74.103683
5,NEAR RAMTALI CHOWK GUJRAT Pakistan,Highway,2836,120,4,32.671481,74.115827
6,NEAR BISMILLAH CHOWK GUJRAT Pakistan,Rural,1648,30,6,32.547063,74.139328
7,NEAR SHAHEEN CHOWK GUJRAT Pakistan,Rural,4016,40,4,32.522693,74.108355
8,SHAHEEN CHOWK GUJRAT Pakistan,Arterial,1684,80,6,32.567104,74.060374
9,YOUNAS FAN GT RAOD GUJRAT Pakistan,Highway,377,40,5,32.544958,74.109111
10,COURT ROAD NEAR ECS GUJRAT Pakistan,Rural,2457,80,3,32.573631,74.051611
11,HAMDANI CNG NEAR SHAHEEN CHOWK GUJRAT Pakistan,Rural,199,60,4,32.672667,74.058077
12,TRIKHA CHOWK NEAR DAR E ARQAM SCHOOL GUJRAT Pakistan,Arterial,4469,80,3,32.531162,74.129481
13,BEOWALI STOP JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Residential,347,80,2,32.589181,74.154955
14,DITTAYWAL DINGA ROAD GUJRAT Pakistan,Residential,4075,120,4,32.680352,74.197554
15,SERVICE MORE GT ROAD GUJRAT Pakistan,Arterial,3606,60,6,32.529978,74.031808
16,NEAR RIVER GARDEN HIGHWAY GUJRAT Pakistan,Residential,4855,80,5,32.575275,74.175721
17,NEAR FATEH PUR GUJRAT Pakistan,Rural,4811,80,2,32.509075,74.0712
18,NEAR KFC UNIVERSITY OF LAHORE HIGHWAY GUJRAT Pakistan,Arterial,992,50,5,32.61648,74.031591
19,MUGHAL COLONY GALI NO 5 SHADMAN GUJRAT Pakistan,Arterial,1765,100,6,32.575345,74.134804
20,NEAR NEW SADAR POLICE STATION GUJRAT Pakistan,Residential,3033,80,5,32.533954,74.076924
21,RHC SHADIWAL GUJRAT Pakistan,Arterial,3172,40,6,32.566221,74.14147
22,VILLAGE SYEDANWALI GUJRAT Pakistan,Residential,4913,80,2,32.521154,74.127951
23,CHADDAR STOP GUJRAT Pakistan,Residential,4089,50,6,32.643856,74.044683
24,OVERHEAD BRIDGE DINGA ROAD GUJRAT Pakistan,Rural,4570,80,2,32.573404,74.138533
25,RAJPPT PLAZA GUJRAT Pakistan,Residential,2664,30,2,32.566668,74.058665
26,RHC SHADIWAL GUJRAT Pakistan,Highway,4418,100,5,32.649546,74.161927
27,NEAR RIVER GARDEN HIGHWAY GUJRAT Pakistan,Highway,416,30,3,32.50023,74.010457
28,SAHAB LAKHO GUJRAT Pakistan,Residential,1194,120,5,32.564916,74.019592
29,NEAR NOOR MARQUE  GUJRAT Pakistan,Arterial,4441,60,3,32.525774,74.12488
30,NEAR BABAR HOUSE GORALI GUJRAT Pakistan,Rural,4233,40,5,32.682692,74.197241
31,PUNJAB COLLEGE GUJRAT Pakistan,Highway,1308,80,6,32.560558,74.128795
32,NEAR DHERU GUNA GUJRAT Pakistan,Residential,3039,100,6,32.536728,74.100817
33,RAMTALAI CHOWK GUJRAT Pakistan,Residential,3407,100,2,32.593116,74.192917
34,SERVICE MORE GT ROAD GUJRAT Pakistan,Arterial,3946,30,2,32.611123,74.02334
35,RHC SHADIWAL GUJRAT Pakistan,Rural,1125,30,5,32.634898,74.137065
36,MOH EID GAH GUJRAT Pakistan,Arterial,3399,30,5,32.621406,74.08447
37,SERVICE3 FACTORY GUJRAT Pakistan,Residential,2158,80,5,32.617172,74.12196
38,VILLAGE NASOWAL KHURD PINDI HASSNA ROAD GUJRAT Pakistan,Highway,3801,40,3,32.685833,74.025988
39,JAIL CHOWK GUJRAT Pakistan,Rural,1539,50,6,32.506163,74.195555
40,NEAR SHAH BHOLA STOP JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Rural,2428,40,4,32.667465,74.13574
41,REHMAN SHAHEED ROAD GUJRAT Pakistan,Rural,4774,40,3,32.600536,74.097843
42,CS 1122 GUJRAT Pakistan,Residential,2113,120,4,32.52737,74.199787
43,NEAR NADRA OFFICE SERVICE MORE GUJRAT Pakistan,Residential,237,40,4,32.511072,74.116674
44,BARSA CNG GT ROAD GUJRAT Pakistan,Highway,2991,30,6,32.626127,74.142154
45,GTS CHOWK GUJRAT Pakistan,Residential,2949,30,3,32.671116,74.090363
46,NEAR AGHA FAN GUJRAT Pakistan,Arterial,3155,30,6,32.535931,74.176042
47,NEAR SABZI MANDI KHARIAN ROAD JALA PUR JATTAN GUJRAT GUJRAT Pakistan,Rural,4755,40,4,32.639481,74.137433
48,NEAR DHERU GUNA GUJRAT Pakistan,Arterial,3588,30,5,32.574302,74.073301
49,RHC SHADIWAL GUJRAT Pakistan,Residential,811,80,6,32.630173,74.177034
50,NEAR SUFI HOTEL GT ROAD GUJRAT Pakistan,Arterial,4255,60,2,32.511015,74.013563
51,SOOK KALAN STOP JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Arterial,3616,120,2,32.543214,74.115715
52,CHECHIAN STOP DINGA ROAD GUJRAT Pakistan,Arterial,1806,40,3,32.617318,74.100975
53,MOH. FAIZABAD GUJRAT Pakistan,Rural,2394,100,4,32.565654,74.185966
54,GORALA STOP GT ROAD GUJRAT Pakistan,Arterial,1299,60,5,32.630219,74.131886
55,NEAR BASHIR MARRIAGE HALL GT ROAD GUJRAT Pakistan,Rural,4476,60,5,32.5015,74.089404
56,NEAR MAROOF STOP JALA PUR JATTAN GUJRAT ROAD GUJRAT Pakistan,Rural,2480,50,3,32.652372,74.182603
57,CREATIVE HAND FURNITURE GT ROAD GUJRAT Pakistan,Highway,4144,60,2,32.546247,74.129146
58,GTS CHOWK GUJRAT Pakistan,Arterial,2022,40,2,32.534987,74.124113
59,MOHLA KALAN VILLAGE GUJRAT Pakistan,Residential,1057,30,6,32.647932,74.146981
60,NEAR ALEENA CENTER BHIMBER ROAD GUJRAT Pakistan,Highway,2944,50,3,32.539904,74.015043
61,NEAR TMA OFFICE GUJRAT Pakistan,Highway,1449,60,3,32.570689,74.090007
62,NEAR AKHTAR HOTEL GT ROAD GUJRAT Pakistan,Residential,3339,60,5,32.561094,74.143187
63,TAIMOR FAN WALA GALA AREA GATE GUJRAT Pakistan,Residential,297,50,5,32.562668,74.0126
64,SHAHJAHANGIR ROAD GUJRAT Pakistan,Residential,2001,50,3,32.567248,74.100256
65,NEAR EID GAH GUJRAT Pakistan,Residential,172,80,4,32.648401,74.199776
66,NEAR NAWAZ SHARIF PARK GUJRAT Pakistan,Highway,3052,50,6,32.683595,74.090068
67,POLOCE CHOWKI JATTUWAKAL GUJRAT Pakistan,Residential,169,100,4,32.584618,74.191347
68,NEAR BIKLI GHAR SARGODHA ROAD GUJRAT Pakistan,Residential,1865,50,3,32.568192,74.130859
69,NEAR BUTTER MORR SHADIWAL GUJRAT Pakistan,Arterial,4205,80,2,32.630844,74.141183
70,NEAR BASHIR MARRIAGE HALL GT ROAD GUJRAT Pakistan,Rural,123,40,6,32.595986,74.148085
