id,date,condition,temperature,humidity,visibility,wind_speed
1,2/3/2020,Snow,40.6,78,7.8,36.1
2,6/26/2023,Rain,17.9,32.4,7,24.6
3,11/6/2024,Snow,39.8,36,5.5,34.9
4,9/30/2022,Fog,10.8,53.3,1,37.3
5,2/26/2022,Heavy Rain,8.3,66,9.2,42.9
6,1/3/2023,Fog,15.8,34.9,6.7,20.6
7,11/10/2021,Heavy Rain,43.2,37,1.9,13.2
8,5/4/2021,Heavy Rain,39.5,33.3,4.8,2.5
9,7/15/2023,Fog,43.6,83.1,3.4,22.6
10,6/23/2021,Snow,22.9,44.7,1.6,42
11,10/4/2020,Rain,16.8,90.3,1.2,9.2
12,1/23/2022,Rain,6.2,90.6,7.8,33.7
13,5/18/2020,Heavy Rain,28.5,36.3,7.6,48.7
14,7/26/2023,Fog,25.8,45,7.8,12.6
15,5/11/2024,Rain,9,69.2,1.1,8.3
16,10/30/2023,Cloudy,5.1,68.6,5.4,47.3
17,8/13/2023,Cloudy,33.4,74.3,2.9,31.6
18,1/27/2023,Cloudy,30.1,37.1,8,40.7
19,11/23/2021,Fog,30.9,21.8,9.8,8.6
20,10/8/2020,Clear,30.3,85.8,8.8,38.5
21,2/18/2023,Heavy Rain,34.8,63.9,1.5,23.9
22,11/17/2024,Clear,37.2,56.7,7.3,24.1
23,7/20/2023,Clear,33.5,94.2,5.4,9.2
24,4/30/2020,Clear,-4.6,22.8,6.1,42.1
25,8/12/2020,Clear,23,23.8,9.5,40.9
26,12/19/2024,Rain,0.6,91.9,0.5,42.6
27,1/18/2023,Heavy Rain,19.1,27.9,1.6,14.5
28,8/11/2022,Heavy Rain,24,32,4,48.8
29,6/23/2024,Clear,38.6,87.9,2.2,14.1
30,10/12/2020,Heavy Rain,12.8,70.7,4,45.8
31,11/10/2022,Cloudy,-2.5,55.9,6,15.9
32,9/11/2021,Rain,43.6,33.1,7.2,43
33,1/6/2022,Heavy Rain,28.1,90.9,7.2,11.3
34,5/8/2020,Snow,13.7,59.8,5.1,15.6
35,6/6/2024,Heavy Rain,15.3,33.6,8.5,49.9
36,3/13/2022,Cloudy,-2.1,56.4,6.2,25.5
37,11/10/2020,Rain,39.8,82.8,0.7,5.3
38,8/20/2021,Rain,34.1,27.3,0.9,3.4
39,8/5/2023,Clear,25.2,74.6,7.5,23
40,4/2/2020,Fog,31,20.8,3.1,47.4
41,6/15/2023,Rain,41.3,22.3,7.2,0.7
42,6/30/2021,Rain,5.2,78.1,5.2,3.7
43,9/4/2020,Heavy Rain,32.9,93.1,1.7,11.7
44,8/7/2024,Fog,42.7,71.4,6.6,5.6
45,6/20/2020,Snow,9,75,2.8,36.8
46,3/24/2023,Clear,11.3,54.8,9.1,35.8
47,3/31/2023,Heavy Rain,0.3,45.9,9,41.2
48,11/2/2020,Heavy Rain,30.8,49,3.4,41.8
49,12/4/2022,Clear,16.2,74.3,2.3,5.8
50,12/13/2023,Rain,37.8,30.7,2.7,14.6
51,8/30/2020,Heavy Rain,-0.8,95,6.9,10
52,4/15/2024,Heavy Rain,11,37.2,6.1,43.9
53,6/29/2021,Snow,41.2,22.1,7.4,13.4
54,7/18/2023,Cloudy,6.8,30.5,5.8,22.2
55,1/21/2020,Cloudy,33.8,93.2,7.6,45.6
56,5/29/2022,Heavy Rain,36.9,27.1,0.9,46.4
57,5/7/2024,Fog,9.9,55.4,9.7,32
58,10/6/2022,Heavy Rain,20.4,63.8,5.5,19.3
59,11/5/2024,Rain,21,57.4,3.3,11.6
60,8/21/2024,Snow,25.9,90.3,7.6,45
61,12/2/2022,Fog,36,78,3.5,39.8
62,11/14/2022,Clear,10.3,69.2,7.1,17.8
63,12/27/2021,Snow,11.1,61.8,8.8,35.2
64,5/25/2024,Fog,6,76,8.1,3.2
65,1/31/2024,Rain,-1.3,46.7,1.7,15.1
66,11/2/2022,Fog,28.1,93.3,1.2,13.4
67,4/25/2024,Clear,25.3,33.9,9.3,20.5
68,6/9/2020,Heavy Rain,42.1,78,9,5.2
69,1/14/2022,Cloudy,4,68.8,3.4,16.2
70,11/19/2022,Snow,16.2,49.5,8.3,28.5
71,2/4/2024,Fog,43.6,87.3,1.5,21.2
72,1/7/2023,Clear,35.8,56.3,6.8,45.3
73,12/27/2021,Fog,27,60.9,9.3,5.9
74,10/4/2024,Snow,42.5,91.9,0.9,26.5
75,10/30/2021,Clear,-0.4,84.6,7.6,26.9
76,2/6/2020,Rain,-4.3,71.5,3.8,23.9
77,5/4/2020,Fog,18.1,54.9,9.8,12.4
78,8/3/2022,Clear,5.3,28.3,9.1,29.3
79,8/2/2023,Rain,40.4,90.8,4.8,2.2
80,2/9/2021,Cloudy,35.9,93.5,9.2,0.5
81,3/5/2021,Rain,22.8,76.1,6.4,27.9
82,4/7/2024,Fog,24.2,73.4,6.9,21.4
83,2/23/2024,Clear,14.7,67.6,3.7,16.2
84,1/9/2024,Heavy Rain,23.4,28.1,2.2,44.2
85,1/4/2021,Cloudy,29.6,69.9,6.3,5.1
86,7/5/2024,Snow,0.2,34.8,6.4,44.2
87,3/12/2022,Fog,8.9,36.6,1.1,8.2
88,1/31/2020,Clear,36.9,20.5,3.4,17.5
89,8/22/2023,Rain,38.3,23.2,7.7,10.1
90,1/7/2020,Heavy Rain,13.9,60.1,7.6,34.3
91,1/27/2023,Snow,34.3,37.3,1.3,29.6
92,2/9/2021,Snow,20.4,57.2,5.6,45.6
93,6/27/2021,Fog,-1.7,78.2,1.9,43.6
94,6/10/2024,Clear,19.1,23.8,1.9,7.2
95,8/15/2020,Cloudy,22.1,63.8,1.7,38.3
96,2/11/2024,Clear,4.8,21.1,7.7,44.6
97,9/18/2023,Heavy Rain,-3.9,66.8,1.6,15.5
